club,aim_offset,mean_birdie_prob,var_birdie_prob
60 deg,20.0,0.0006846865018208822,1.3380994772176852e-06
7 Iron,-20.0,0.12898008128007252,0.0008731960004102173
7 Iron,-18.0,0.13086662317315736,0.001166693287913834
7 Iron,-16.0,0.12806200757622718,0.0008439652248694812
7 Iron,-14.0,0.14009196559588113,0.0006244220293547296
7 Iron,-12.0,0.12852541853984198,0.0008396326622536431
7 Iron,-10.0,0.13111176391442617,0.0010874772531580567
7 Iron,-8.0,0.1433121917148431,0.0005151826030805947
7 Iron,-6.0,0.14331295788288118,0.0008466257646231975
7 Iron,-4.0,0.14793121467034023,0.0005185894076181779
7 Iron,-2.0,0.15115221440792084,0.0004468160532811715
7 Iron,0.0,0.14619822253783543,0.0006330938621358952
7 Iron,2.0,0.14840530057748158,0.00034113247696651746
7 Iron,4.0,0.1495724747578303,0.0006604252499365505
7 Iron,6.0,0.14972376426060993,0.0006910516843679521
7 Iron,8.0,0.1576139157017072,0.000380114527726891
7 Iron,10.0,0.1518297791481018,0.0005603201309457018
7 Iron,12.0,0.1585095927119255,0.00046549306971584094
7 Iron,14.0,0.15981807708740234,0.0006140919713182588
7 Iron,16.0,0.16336130400498708,0.00030843100307457896
7 Iron,18.0,0.16566314697265624,0.0002881842971807173
7 Iron,20.0,0.16291147321462632,0.0002700394589723983
8 Iron,-20.0,0.11244224806626638,0.0008180231827195477
8 Iron,-18.0,0.09920448462168376,0.000910906385280984
8 Iron,-16.0,0.10904117872317633,0.0009158578345902015
8 Iron,-14.0,0.11176113511125246,0.001147785215853538
8 Iron,-12.0,0.1157722108066082,0.0005643401395269731
8 Iron,-10.0,0.11590849409500757,0.000772384105030669
8 Iron,-8.0,0.11030860071380934,0.001164857218067634
8 Iron,-6.0,0.11558903480569521,0.0008045741452706699
8 Iron,-4.0,0.12308004970351855,0.0008259685674395965
8 Iron,-2.0,0.1215301218132178,0.0010320791301901965
8 Iron,0.0,0.12510435059666633,0.0007881291109690977
8 Iron,2.0,0.13896761039892833,0.00028781622678369906
8 Iron,4.0,0.12195879419644674,0.0008572261643258933
8 Iron,6.0,0.13699205095569292,0.0007073391552055703
8 Iron,8.0,0.1337112233042717,0.0006370751923096649
8 Iron,10.0,0.12836080342531203,0.001013408388934103
8 Iron,12.0,0.1316705120106538,0.0004962251274073107
8 Iron,14.0,0.12924210752050083,0.0006046500605911554
8 Iron,16.0,0.1423693540195624,0.00031716205090924276
8 Iron,18.0,0.14379882911841074,0.0005649309366542166
8 Iron,20.0,0.1400478720664978,0.000791284723830282
9 Iron,-20.0,0.05886163165171941,0.0005799122572478639
9 Iron,-18.0,0.058347983409961064,0.00045880252714804523
9 Iron,-16.0,0.06622933993736903,0.000716765030590552
9 Iron,-14.0,0.06864453504482905,0.0005940819028279096
9 Iron,-12.0,0.0566314809024334,0.0007297154927043755
