x,y,N,tolerance,club_agreement,aim_agreement,median_aim,n_seeds
-40.0,128.01247435116397,20,2,0.96,0.32,-14.0,100
-40.0,128.01247435116397,20,3,0.96,0.32,-14.0,100
-40.0,128.01247435116397,30,1,0.97,0.18,-16.0,100
-40.0,128.01247435116397,30,2,0.97,0.51,-16.0,100
-40.0,128.01247435116397,30,3,0.97,0.51,-16.0,100
-40.0,128.01247435116397,50,1,1.0,0.21,-18.0,100
-40.0,128.01247435116397,50,2,1.0,0.71,-18.0,100
-40.0,128.01247435116397,50,3,1.0,0.71,-18.0,100
-40.0,128.01247435116397,100,1,0.99,0.26,-18.0,100
-40.0,128.01247435116397,100,2,0.99,0.81,-18.0,100
-40.0,128.01247435116397,100,3,0.99,0.81,-18.0,100
-40.0,128.01247435116397,150,1,1.0,0.3,-18.0,100
-40.0,128.01247435116397,150,2,1.0,0.9,-18.0,100
-40.0,128.01247435116397,150,3,1.0,0.9,-18.0,100
-40.0,128.01247435116397,200,1,1.0,0.3,-18.0,100
-40.0,128.01247435116397,200,2,1.0,0.95,-18.0,100
-40.0,128.01247435116397,200,3,1.0,0.95,-18.0,100
-40.0,128.01247435116397,250,1,1.0,0.33,-18.0,100
-40.0,128.01247435116397,250,2,1.0,0.96,-18.0,100
-40.0,128.01247435116397,250,3,1.0,0.96,-18.0,100
-40.0,128.01247435116397,300,1,1.0,0.58,-20.0,100
-40.0,128.01247435116397,300,2,1.0,0.86,-20.0,100
-40.0,128.01247435116397,300,3,1.0,0.86,-20.0,100
-40.0,136.68052705684886,10,1,0.98,0.11,-14.0,100
-40.0,136.68052705684886,10,2,0.98,0.42,-14.0,100
-40.0,136.68052705684886,10,3,0.98,0.42,-14.0,100
-40.0,136.68052705684886,20,1,0.99,0.32,-15.0,100
-40.0,136.68052705684886,20,2,0.99,0.32,-15.0,100
-40.0,136.68052705684886,20,3,0.99,0.55,-15.0,100
-40.0,136.68052705684886,30,1,0.99,0.23,-16.0,100
-40.0,136.68052705684886,30,2,0.99,0.54,-16.0,100
-40.0,136.68052705684886,30,3,0.99,0.54,-16.0,100
-40.0,136.68052705684886,50,1,1.0,0.44,-17.0,100
-40.0,136.68052705684886,50,2,1.0,0.44,-17.0,100
-40.0,136.68052705684886,50,3,1.0,0.84,-17.0,100
-40.0,136.68052705684886,100,1,1.0,0.3,-18.0,100
-40.0,136.68052705684886,100,2,1.0,0.8,-18.0,100
-40.0,136.68052705684886,100,3,1.0,0.8,-18.0,100
-40.0,136.68052705684886,150,1,1.0,0.28,-18.0,100
-40.0,136.68052705684886,150,2,1.0,0.83,-18.0,100
-40.0,136.68052705684886,150,3,1.0,0.83,-18.0,100
-40.0,136.68052705684886,200,1,1.0,0.31,-18.0,100
-40.0,136.68052705684886,200,2,1.0,0.92,-18.0,100
-40.0,136.68052705684886,200,3,1.0,0.92,-18.0,100
-40.0,136.68052705684886,250,1,1.0,0.33,-18.0,100
-40.0,136.68052705684886,250,2,1.0,0.92,-18.0,100
-40.0,136.68052705684886,250,3,1.0,0.92,-18.0,100
-40.0,136.68052705684886,300,1,1.0,0.51,-20.0,100
-40.0,136.68052705684886,300,2,1.0,0.8,-20.0,100
-40.0,136.68052705684886,300,3,1.0,0.8,-20.0,100
-40.0,145.34857976253377,10,1,0.9,0.12,-14.0,100
-40.0,145.34857976253377,10,2,0.9,0.32,-14.0,100
-40.0,145.34857976253377,10,3,0.9,0.32,-14.0,100
-40.0,145.34857976253377,20,1,0.93,0.18,-14.0,100
-40.0,145.34857976253377,20,2,0.93,0.45,-14.0,100
-40.0,145.34857976253377,20,3,0.93,0.45,-14.0,100
-40.0,145.34857976253377,30,1,0.95,0.13,-16.0,100
-40.0,145.34857976253377,30,2,0.95,0.53,-16.0,100
-40.0,145.34857976253377,30,3,0.95,0.53,-16.0,100
-40.0,145.34857976253377,50,1,0.99,0.18,-16.0,100
-40.0,145.34857976253377,50,2,0.99,0.58,-16.0,100
-40.0,145.34857976253377,50,3,0.99,0.58,-16.0,100
-40.0,145.34857976253377,100,1,0.99,0.23,-18.0,100
-40.0,145.34857976253377,100,2,0.99,0.72,-18.0,100
-40.0,145.34857976253377,100,3,0.99,0.72,-18.0,100
-40.0,145.34857976253377,150,1,1.0,0.26,-18.0,100
-40.0,145.34857976253377,150,2,1.0,0.78,-18.0,100
-40.0,145.34857976253377,150,3,1.0,0.78,-18.0,100
-40.0,145.34857976253377,200,1,1.0,0.31,-18.0,100
