seed,N_from,N_to,N,tolerance,match_rate
23,250,300,300,3,79.64285714285714
24,10,20,20,1,43.57142857142857
24,10,20,20,2,51.78571428571429
24,10,20,20,3,51.78571428571429
24,20,30,30,1,58.214285714285715
24,20,30,30,2,67.14285714285714
24,20,30,30,3,67.14285714285714
24,30,50,50,1,52.5
24,30,50,50,2,63.21428571428571
24,30,50,50,3,63.21428571428571
24,50,100,100,1,48.214285714285715
24,50,100,100,2,62.5
24,50,100,100,3,62.5
24,100,150,150,1,58.92857142857143
24,100,150,150,2,72.14285714285714
24,100,150,150,3,72.14285714285714
24,150,200,200,1,71.42857142857143
24,150,200,200,2,79.64285714285714
24,150,200,200,3,79.64285714285714
24,200,250,250,1,73.92857142857143
24,200,250,250,2,81.42857142857143
24,200,250,250,3,81.42857142857143
24,250,300,300,1,75.0
24,250,300,300,2,85.0
24,250,300,300,3,85.0
25,10,20,20,1,41.07142857142857
25,10,20,20,2,50.0
25,10,20,20,3,50.0
25,20,30,30,1,48.92857142857142
25,20,30,30,2,57.49999999999999
25,20,30,30,3,57.49999999999999
25,30,50,50,1,45.0
25,30,50,50,2,58.214285714285715
25,30,50,50,3,58.214285714285715
25,50,100,100,1,46.785714285714285
25,50,100,100,2,62.5
25,50,100,100,3,62.5
25,100,150,150,1,58.57142857142858
25,100,150,150,2,70.35714285714286
25,100,150,150,3,70.35714285714286
25,150,200,200,1,60.357142857142854
25,150,200,200,2,75.0
25,150,200,200,3,75.0
25,200,250,250,1,70.71428571428572
25,200,250,250,2,80.35714285714286
25,200,250,250,3,80.35714285714286
25,250,300,300,1,74.64285714285714
25,250,300,300,2,85.71428571428571
25,250,300,300,3,85.71428571428571
26,10,20,20,1,37.142857142857146
26,10,20,20,2,48.214285714285715
26,10,20,20,3,48.214285714285715
26,20,30,30,1,54.285714285714285
26,20,30,30,2,62.5
26,20,30,30,3,62.5
26,30,50,50,1,46.07142857142857
26,30,50,50,2,57.85714285714286
26,30,50,50,3,57.85714285714286
26,50,100,100,1,42.857142857142854
26,50,100,100,2,60.71428571428571
26,50,100,100,3,60.71428571428571
26,100,150,150,1,63.21428571428571
26,100,150,150,2,74.28571428571429
26,100,150,150,3,74.28571428571429
26,150,200,200,1,68.57142857142857
26,150,200,200,2,79.64285714285714
26,150,200,200,3,79.64285714285714
26,200,250,250,1,76.42857142857142
26,200,250,250,2,86.07142857142858
26,200,250,250,3,86.07142857142858
26,250,300,300,1,72.5
26,250,300,300,2,82.5
26,250,300,300,3,82.5
27,10,20,20,1,39.285714285714285
27,10,20,20,2,48.92857142857142
27,10,20,20,3,48.92857142857142
27,20,30,30,1,51.42857142857142
27,20,30,30,2,60.71428571428571
27,20,30,30,3,60.71428571428571
27,30,50,50,1,48.92857142857142
27,30,50,50,2,62.142857142857146
27,30,50,50,3,62.142857142857146
27,50,100,100,1,50.71428571428571
27,50,100,100,2,61.78571428571429
27,50,100,100,3,61.78571428571429
27,100,150,150,1,59.64285714285714
27,100,150,150,2,73.21428571428571
27,100,150,150,3,73.21428571428571
27,150,200,200,1,68.21428571428572
27,150,200,200,2,82.5
27,150,200,200,3,82.5
27,200,250,250,1,70.71428571428572
27,200,250,250,2,81.78571428571428
27,200,250,250,3,81.78571428571428
27,250,300,300,1,74.28571428571429
27,250,300,300,2,86.78571428571429
27,250,300,300,3,86.78571428571429
28,10,20,20,1,37.857142857142854
28,10,20,20,2,48.92857142857142
28,10,20,20,3,48.92857142857142
28,20,30,30,1,53.214285714285715
28,20,30,30,2,62.857142857142854
28,20,30,30,3,62.857142857142854
28,30,50,50,1,41.785714285714285
28,30,50,50,2,57.49999999999999
28,30,50,50,3,57.49999999999999
28,50,100,100,1,41.785714285714285
28,50,100,100,2,58.214285714285715
28,50,100,100,3,58.214285714285715
28,100,150,150,1,55.714285714285715
28,100,150,150,2,69.28571428571428
28,100,150,150,3,69.28571428571428
28,150,200,200,1,66.42857142857143
28,150,200,200,2,77.85714285714286
28,150,200,200,3,77.85714285714286
28,200,250,250,1,69.28571428571428
28,200,250,250,2,81.07142857142857
28,200,250,250,3,81.07142857142857
28,250,300,300,1,74.64285714285714
28,250,300,300,2,83.92857142857143
28,250,300,300,3,83.92857142857143
29,10,20,20,1,34.64285714285714
29,10,20,20,2,44.642857142857146
29,10,20,20,3,44.642857142857146
29,20,30,30,1,48.214285714285715
29,20,30,30,2,60.0
29,20,30,30,3,60.0
29,30,50,50,1,51.07142857142857
29,30,50,50,2,64.64285714285715
29,30,50,50,3,64.64285714285715
29,50,100,100,1,43.92857142857143
