x,y,N,club_1,aim_1,esho_1,se_1,freq_1,club_2,aim_2,esho_2,freq_2,delta_esho,functionally_equivalent
48.888888888888886,188.6888432909582,250,6 Iron,-6,4.299857882352976,0.03155026537922987,26,6 Iron,-2,4.301640764872233,15,0.0017828825192571784,True
48.888888888888886,188.6888432909582,300,6 Iron,-6,4.307084516242698,0.028822238051356957,27,6 Iron,-4,4.307348340749741,16,0.0002638245070425427,True
48.888888888888886,197.3568959966431,10,6 Iron,-6,4.074515903697295,0.15378467548370559,17,6 Iron,2,4.075385183095932,12,0.0008692793986373459,True
48.888888888888886,197.3568959966431,20,6 Iron,-2,4.161498233675957,0.10185508124478033,16,6 Iron,-10,4.2018278728831895,11,0.04032963920723276,True
48.888888888888886,197.3568959966431,30,6 Iron,-2,4.1810745631947235,0.09096724423250158,17,6 Iron,0,4.204315406935556,14,0.02324084374083224,True
48.888888888888886,197.3568959966431,50,6 Iron,0,4.240604779299567,0.06760324000432251,17,6 Iron,-6,4.217357620596886,16,0.02324715870268168,True
48.888888888888886,197.3568959966431,100,6 Iron,0,4.27382619040353,0.04788647874568538,21,6 Iron,-2,4.264219087712905,17,0.009607102690624814,True
48.888888888888886,197.3568959966431,150,6 Iron,-6,4.27808555689725,0.03941478199411931,22,6 Iron,0,4.281213720639546,18,0.003128163742296408,True
48.888888888888886,197.3568959966431,200,6 Iron,-6,4.285201728343964,0.033634819618100394,24,6 Iron,-2,4.2899947291926335,19,0.004793000848669848,True
48.888888888888886,197.3568959966431,250,6 Iron,-6,4.291549305121104,0.02972039775779671,24,6 Iron,-2,4.290506045023601,18,0.0010432600975036621,True
48.888888888888886,197.3568959966431,300,6 Iron,-6,4.293856654848371,0.02764115926658914,21,6 Iron,-2,4.3045314192771915,20,0.010674764428820538,True
48.888888888888886,206.024948702328,10,6 Iron,-4,3.132996851747686,0.17780034139629464,11,6 Iron,-8,3.142241451475355,9,0.009244599727669112,True
48.888888888888886,206.024948702328,20,6 Iron,-4,3.2624770323435466,0.11829169975122193,15,6 Iron,-8,3.24479158108051,13,0.017685451263036445,True
48.888888888888886,206.024948702328,30,6 Iron,-8,3.2985404946587304,0.09299194594436044,22,6 Iron,-4,3.297674755255381,12,0.0008657394033493304,True
48.888888888888886,206.024948702328,50,6 Iron,-4,3.345627800623576,0.0729441961817436,15,6 Iron,-6,3.338056104523795,14,0.007571696099780922,True
48.888888888888886,206.024948702328,100,6 Iron,-12,3.3832626456306096,0.04904000840464609,21,6 Iron,-8,3.372827935218811,20,0.010434710411798775,True
48.888888888888886,206.024948702328,150,6 Iron,-8,3.3828017460672477,0.04135912796452496,19,6 Iron,-12,3.3988929241895676,16,0.01609117812231986,True
48.888888888888886,206.024948702328,200,6 Iron,-8,3.398966289701916,0.03674881403904416,21,6 Iron,-10,3.4012891583972507,18,0.002322868695334712,True
48.888888888888886,206.024948702328,250,6 Iron,-8,3.4036505980925127,0.03233934940461749,22,6 Iron,-10,3.4089321086281226,19,0.005281510535609879,True
48.888888888888886,206.024948702328,300,6 Iron,-8,3.4064084802355086,0.029425566940043404,21,6 Iron,-10,3.413784980773926,17,0.007376500538417208,True
