x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
-6.666666666666671,223.36105411369775,10,0.6,0.16,0.12,100
-6.666666666666671,232.02910681938263,10,0.47,0.18,0.1,100
-6.666666666666671,240.69715952506752,10,0.75,0.15,0.14,100
-6.666666666666671,249.3652122307524,10,0.88,0.24,0.24,100
-6.666666666666671,258.0332649364373,10,0.8,0.25,0.21,100
-6.666666666666671,266.7013176421222,10,0.93,0.26,0.26,100
-6.666666666666671,275.3693703478071,10,0.84,0.39,0.36,100
-6.666666666666671,284.037423053492,10,1.0,0.41,0.41,100
4.444444444444443,50.0,10,0.61,0.19,0.13,100
4.444444444444443,58.668052705684886,10,0.74,0.23,0.19,100
4.444444444444443,67.33610541136977,10,0.63,0.13,0.1,100
4.444444444444443,76.00415811705466,10,0.78,0.15,0.13,100
4.444444444444443,84.67221082273954,10,0.68,0.14,0.11,100
4.444444444444443,93.34026352842444,10,0.47,0.14,0.1,100
4.444444444444443,102.00831623410932,10,0.91,0.13,0.13,100
4.444444444444443,110.67636893979422,10,0.84,0.15,0.14,100
4.444444444444443,119.3444216454791,10,0.8,0.15,0.15,100
4.444444444444443,128.01247435116397,10,0.74,0.14,0.11,100
4.444444444444443,136.68052705684886,10,0.91,0.15,0.14,100
4.444444444444443,145.34857976253377,10,0.46,0.15,0.09,100
4.444444444444443,154.01663246821866,10,0.79,0.19,0.15,100
4.444444444444443,162.68468517390357,10,0.53,0.14,0.1,100
4.444444444444443,171.35273787958843,10,0.82,0.17,0.13,100
4.444444444444443,180.02079058527332,10,0.82,0.15,0.11,100
4.444444444444443,188.6888432909582,10,0.93,0.21,0.2,100
4.444444444444443,197.3568959966431,10,0.51,0.15,0.1,100
4.444444444444443,206.024948702328,10,0.53,0.18,0.15,100
4.444444444444443,214.6930014080129,10,0.92,0.21,0.2,100
4.444444444444443,223.36105411369775,10,0.58,0.23,0.13,100
4.444444444444443,232.02910681938263,10,0.42,0.19,0.11,100
4.444444444444443,240.69715952506752,10,0.62,0.2,0.11,100
4.444444444444443,249.3652122307524,10,0.93,0.28,0.28,100
4.444444444444443,258.0332649364373,10,1.0,0.33,0.33,100
4.444444444444443,266.7013176421222,10,1.0,0.29,0.29,100
4.444444444444443,275.3693703478071,10,0.97,0.38,0.38,100
4.444444444444443,284.037423053492,10,1.0,0.32,0.32,100
15.555555555555555,50.0,10,0.56,0.13,0.08,100
15.555555555555555,58.668052705684886,10,0.71,0.14,0.1,100
15.555555555555555,67.33610541136977,10,0.7,0.12,0.12,100
15.555555555555555,76.00415811705466,10,0.87,0.16,0.15,100
15.555555555555555,84.67221082273954,10,0.67,0.11,0.07,100
15.555555555555555,93.34026352842444,10,0.47,0.11,0.06,100
15.555555555555555,102.00831623410932,10,0.86,0.11,0.11,100
15.555555555555555,110.67636893979422,10,0.79,0.16,0.14,100
15.555555555555555,119.3444216454791,10,0.86,0.17,0.14,100
15.555555555555555,128.01247435116397,10,0.7,0.14,0.11,100
15.555555555555555,136.68052705684886,10,0.97,0.12,0.12,100
15.555555555555555,145.34857976253377,10,0.5,0.11,0.07,100
15.555555555555555,154.01663246821866,10,0.78,0.17,0.13,100
15.555555555555555,162.68468517390357,10,0.56,0.15,0.08,100
15.555555555555555,171.35273787958843,10,0.81,0.15,0.14,100
15.555555555555555,180.02079058527332,10,0.8,0.19,0.15,100
15.555555555555555,188.6888432909582,10,0.91,0.19,0.18,100
15.555555555555555,197.3568959966431,10,0.82,0.23,0.17,100
15.555555555555555,206.024948702328,10,0.78,0.17,0.17,100
15.555555555555555,214.6930014080129,10,0.95,0.25,0.24,100
15.555555555555555,223.36105411369775,10,0.61,0.16,0.11,100
15.555555555555555,232.02910681938263,10,0.91,0.19,0.19,100
15.555555555555555,240.69715952506752,10,0.98,0.24,0.24,100
15.555555555555555,249.3652122307524,10,1.0,0.28,0.28,100
15.555555555555555,258.0332649364373,10,0.81,0.3,0.23,100
15.555555555555555,266.7013176421222,10,0.99,0.33,0.33,100
15.555555555555555,275.3693703478071,10,0.98,0.4,0.4,100
15.555555555555555,284.037423053492,10,1.0,0.48,0.48,100
26.666666666666657,50.0,10,0.64,0.12,0.1,100
26.666666666666657,58.668052705684886,10,0.78,0.12,0.09,100
26.666666666666657,67.33610541136977,10,0.76,0.11,0.09,100
26.666666666666657,76.00415811705466,10,0.77,0.11,0.1,100
26.666666666666657,84.67221082273954,10,0.71,0.11,0.08,100
26.666666666666657,93.34026352842444,10,0.99,0.25,0.24,100
26.666666666666657,102.00831623410932,10,1.0,0.16,0.16,100
26.666666666666657,110.67636893979422,10,1.0,0.15,0.15,100
26.666666666666657,119.3444216454791,10,1.0,0.11,0.11,100
26.666666666666657,128.01247435116397,10,0.63,0.14,0.08,100
26.666666666666657,136.68052705684886,10,0.94,0.18,0.18,100
26.666666666666657,145.34857976253377,10,0.62,0.11,0.09,100
26.666666666666657,154.01663246821866,10,0.79,0.11,0.1,100
26.666666666666657,162.68468517390357,10,0.66,0.15,0.11,100
26.666666666666657,171.35273787958843,10,0.82,0.14,0.12,100
26.666666666666657,180.02079058527332,10,0.74,0.17,0.14,100
26.666666666666657,188.6888432909582,10,0.75,0.16,0.14,100
26.666666666666657,197.3568959966431,10,0.99,0.19,0.19,100
26.666666666666657,206.024948702328,10,0.87,0.15,0.13,100
26.666666666666657,214.6930014080129,10,0.98,0.22,0.22,100
26.666666666666657,223.36105411369775,10,0.68,0.18,0.13,100
26.666666666666657,232.02910681938263,10,0.88,0.19,0.17,100
26.666666666666657,240.69715952506752,10,0.99,0.27,0.27,100
26.666666666666657,249.3652122307524,10,0.9,0.26,0.25,100
